,user_id
1237,714
1238,1730
1239,22
1240,388
1241,1158
1242,1983
1243,1759
1244,969
1245,840
1246,1796
1247,1623
1248,1128
1249,1272
1250,1653
1251,1462
1252,413
1253,232
1254,18
1255,931
